Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
286,--,Torrance Marable,Coastal Carolina,RBC,"5'10""",200,SR,2021-04-19,Eligible
287,--,Keith Duncan,Iowa,PK,"5'10""",180,SR,2021-04-19,Eligible
288,--,Mark Gilbert,Duke,CB,"6'1""",175,RJR,2021-04-19,Eligible
289,-28,Oscar Bradburn,Virginia Tech,P,"6'1""",221,SR,2021-04-19,Eligible
290,--,Jalen Camp,Georgia Tech,WR,"6'2""",226,RSR,2021-04-19,Eligible
291,--,Brady Breeze,Oregon,S,"6'0""",196,SR,2021-04-19,Eligible
292,--,Erroll Thompson,Mississippi State,ILB,"6'1""",250,RSR,2021-04-19,Eligible
293,--,Earnest Brown IV,Northwestern,EDGE,"6'5""",270,SR,2021-04-19,Eligible
294,--,Adetokunbo Ogundeji,Notre Dame,EDGE,"6'4""",268,RSR,2021-04-19,Eligible
295,--,Will Fries,Penn State,OT,6'6'',306,RSR,2021-04-19,Eligible
296,--,Zach Davidson,Central Missouri,TE,"6'7""",245,RJR,2021-04-19,Eligible
297,--,William Bradley-King,Baylor,EDGE,"6'4""",248,SR,2021-04-19,Eligible
298,--,Stevie Scott,Indiana,RB,"6'2""",231,JR,2021-04-19,Eligible
299,+33,Joshuah Bledsoe,Missouri,S,6'0'',200,SR,2021-04-19,Eligible
300,--,Brenden Jaimes,Nebraska,OT,6'5'',300,SR,2021-04-19,Eligible
301,--,Jonathan Adams Jr.,Arkansas State,WR,6'3'',210,SR,2021-04-19,Eligible
302,--,Whop Philyor,Indiana,WR,"5'11""",180,SR,2021-04-19,Eligible
303,--,Jason Pinnock,Pitt,CB,"6'1""",205,SR,2021-04-19,Eligible
304,--,Warren Jackson,Colorado State,WR,6'6'',212,SR,2021-04-19,Eligible
